Last updated:,,9/2/2015,,,,,,Notes:,Click an arrow on any column to sort the results. Clicking A-->Z will sort from smallest to largest score and Z-->A will sort largest to smallest,,,,,The sum of practice indicator results are in columns EA-EC,"Practice indicator scores are NOT included in the Guideline averages. In other words, Column P is an average of columns J-M and does not include columns N-O.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Practice Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Region,Income level,Income level normalized (5=High Income:OECD; 1=Low income),Aarhus,OGP,Federal/unitary,1.1,1.2,1.3,1.4,1.5,1.6,Guideline 1--Accessibility of Information Requests,2.1,2.2,2.3,2.4,P2.1,P2.2,Guideline 2--Environmental Information in the public domain,3.1,3.2,3.3,Guideline 3--Grounds for Refusal,4.1,4.2,4.3,P4.1,Guideline 4: Information collection and management,5.1,5.2,5.3,5.4,P5.1,Guideline 5--State of the Environment Report,6.1,Guideline 6--Early Warning Information,Access to Info Score,8.1,8.2,8.3,P8.1,Guideline 8--Early Public Participation,9.1,9.2,Guideline 9--Proactive Public Consultation,10.1,10.2,10.3,P10.1,P10.2,P10.3,P10.4,P10.5,Guideline 10--Informed Participation,11.1,11.2,P11.1,Guideline 11--Due Account of Public Comments,12.1,Guideline 12--Public Participation Review,13.1,13.2,13.3,13.4,Guideline 13--Integrating public input for rule-making,Participation Pillar Score,15.1,15.2,15.3,P15.1,Guideline 15--Information Request Appeals,16.1,16.2,16.3,P16.1,Guideline 16--Public Participation Appeals,17.1,17.2,17.3,17.4,P17.1,P17.2,Guideline 17--Right of Public to challenge State or Private Actors,18.1,P18.1,Guideline 18--Broad Standing,19.1,19.2,19.3,19.4,19.5,P19.1,"Guideline 19--Fair, timely, and independent review",20.1,20.2,20.3,20.4,P20.1,P20.2,P20.3,Guideline 20--Affordable Access to relief and remedy,21.1,21.2,21.3,21.4,21.5,21.6,P21.1,"Guideline 21--Prompt, effective remedies",22.1,22.2,22.3,22.4,22.5,22.6,Guideline 22--Effective enforcement,23.1,23.2,P23.1,Guideline 23--Awareness and education about remedies and relief,24.1,24.2,24.3,P24.1,Guideline 24--Public Access to Judicial and Administrative decisions,26.1,26.2,P26.1,Guideline 26--Alternative Dispute Resolution for Environmental Issues,Justice Pillar Score,Overall Score,YES (practice),LIMITED (practice),NO (practice),Yes and Limted Combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,LAC,Lower middle income,2,,OGP,Unitary,3,3,2,3,3,3,2.83,0,0,3,3,1,0,1.5,1,2,0,1.00,2,1,3,1,2.00,1,0,0,0,0,0.25,2,2,1.60,3,1,1,0,1.67,0,1,0.5,1,1,1,1,0,1,1,1,1.00,1,1,0,1,0,0,1,0,1,0,0.5,0.78,3,3,2,1,2.67,1,2,2,2,1.67,2,3,0,1,0,2,1.5,3,2,3,3,1,3,2,0,1,1.8,0,1,0,0,1,0,0,0.25,0,0,2,1,1,1,0,0.83,3,0,3,0,2,0,1.33,0,0,0,0,3,3,1,2,2.33,1,1,0,1,1.49,1.29,4,9,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,LAC,Lower middle income,2,,OGP,Unitary,3,3,2,3,3,2,2.67,0,0,3,0,1,0,0.75,2,3,0,1.67,0,0,1,0,0.33,3,3,0,0,2,1.5,2,2,1.49,1,1,1,0,1.00,1,1,1,1,1,1,1,0,1,0,0,1.00,1,1,0,1,0,0,0,0,1,0,0.25,0.71,3,3,3,2,3.00,2,2,3,2,2.33,3,3,0,3,2,2,2.25,2,2,2,3,3,3,3,3,0,3,1,0,0,1,0,0,0,0.5,0,0,1,1,0,0,1,0.33,3,0,2,0,3,0,1.33,0,3,0,1.5,2,2,2,1,2.00,0,0,0,0,1.66,1.28,6,5,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,Africa,Lower middle income,2,,,Federal,3,3,2,3,3,3,2.83,2,3,3,0,0,0,2,2,3,2,2.33,2,2,3,0,2.33,0,0,0,0,0,0,0,0,1.58,1,0,0,0,0.33,1,1,1,3,0,3,0,0,1,0,0,2.00,1,3,0,2,0,0,0,0,0,0,0,0.89,3,3,3,2,3.00,3,3,3,2,3.00,2,1,0,3,0,0,1.5,0,0,0,3,3,0,1,3,1,2,0,0,0,0,0,0,0,0,2,2,3,3,0,1,1,1.83,3,0,3,0,2,0,1.33,0,0,0,0,0,3,3,2,2.00,1,0,2,0.5,1.38,1.28,4,3,17,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,Africa,Low income,1,,OGP,Unitary,2,3,2,0,3,1,1.83,2,2,2,0,0,0,1.5,2,0,0,0.67,3,2,3,0,2.67,3,3,0,0,1,1.5,0,0,1.36,2,2,1,1,1.67,1,1,1,1,1,1,1,0,0,0,0,1.00,1,1,1,1,0,0,3,2,2,2,2.25,1.15,0,0,0,1,0.00,1,3,2,2,2.00,0,3,0,2,2,1,1.25,3,2,3,2,2,0,2,1,0,1.4,0,1,0,1,0,0,0,0.5,3,1,3,3,1,2,0,2.17,2,0,0,0,3,1,1.00,0,0,1,0,1,1,0,0,0.67,3,2,0,2.5,1.32,1.28,3,7,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Asia/Pacific,Upper middle income,3,,OGP,Unitary,3,3,2,3,2,2,2.50,1,1,2,0,2,2,1,3,3,0,2.00,3,3,1,0,2.33,3,3,0,0,1,1.5,1,1,1.72,1,1,1,1,1.00,1,1,1,1,0,2,0,0,0,0,0,1.00,1,0,0,0.5,0,0,1,0,0,0,0.25,0.63,1,2,1,2,1.33,3,3,2,1,2.67,2,0,0,2,0,2,1,1,2,1,3,2,0,2,3,0,2,0,0,0,0,0,0,0,0,3,2,1,3,1,1,0,1.83,3,3,3,3,3,3,3.00,0,0,0,0,1,1,0,1,0.67,3,0,0,1.5,1.36,1.24,5,4,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,LAC,Lower middle income,2,,,Unitary,2,3,2,3,1,2,2.17,1,0,1,1,1,0,0.75,2,1,0,1.00,3,2,1,0,2.00,3,2,1,0,0,1.5,0,0,1.24,3,1,1,0,1.67,1,2,1.5,1,0,0,2,0,1,0,0,0.33,1,1,0,1,1,1,2,1,1,0,1,1.08,2,3,0,0,1.67,3,2,3,1,2.67,3,3,0,1,0,2,1.75,3,0,3,2,2,0,3,1,0,1.6,0,0,0,1,0,0,0,0.25,2,1,1,3,0,2,2,1.50,0,0,0,0,1,0,0.17,0,0,0,0,0,2,0,2,0.67,1,0,0,0.5,1.25,1.19,4,3,17,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,Asia/Pacific,Lower middle income,2,,,Unitary,2,3,1,0,3,3,2.00,2,2,2,2,1,0,2,2,0,0,0.67,3,2,2,0,2.33,3,3,3,1,2,2.5,0,0,1.58,2,0,0,1,0.67,2,0,1,1,0,0,1,1,1,0,0,0.33,2,2,2,2,0,0,2,2,1,0,1.25,0.88,0,0,0,0,0.00,3,3,1,0,2.33,1,0,0,1,0,0,0.5,1,0,1,2,2,1,1,2,0,1.6,0,0,0,0,0,0,0,0,2,0,2,2,0,1,0,1.17,2,2,2,2,2,1,1.83,0,1,0,0.5,1,0,1,0,0.67,3,0,1,1.5,1.01,1.16,2,6,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,Africa,Low income,1,,,Federal,1,3,0,0,2,3,1.50,1,0,0,0,0,0,0.25,2,0,0,0.67,0,0,3,0,1.00,3,0,0,0,0,0.75,0,0,0.69,3,0,3,1,2.00,1,3,2,1,0,1,1,1,0,0,0,0.67,1,2,0,1.5,1,1,3,3,3,3,3,1.69,0,0,0,0,0.00,1,1,1,0,1.00,2,2,2,1,0,1,1.75,3,2,3,3,3,0,0,0,1,1.2,0,2,0,0,0,0,0,0.5,3,2,1,2,2,3,1,2.17,3,0,0,0,0,0,0.50,0,0,1,0,1,0,2,0,1.00,1,0,0,0.5,1.06,1.15,1,7,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,LAC,Upper middle income,3,,,Unitary,3,3,2,3,2,2,2.50,1,1,0,2,0,0,1,2,1,1,1.33,2,2,2,1,2.00,0,0,0,0,1,0,1,1,1.31,1,1,0,2,0.67,0,1,0.5,1,0,0,2,1,2,1,0,0.33,1,0,0,0.5,0,0,1,1,1,0,0.75,0.46,3,3,3,2,3.00,1,2,3,2,2.00,2,2,2,2,1,2,2,3,2,3,1,3,1,1,3,2,1.8,0,0,0,0,0,1,2,0,1,1,1,2,1,2,0,1.33,1,0,3,1,2,2,1.50,0,0,0,0,2,0,3,1,1.67,1,1,0,1,1.57,1.11,9,7,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,Asia/Pacific,Low income,1,,,Unitary,3,1,1,3,3,2,2.17,1,0,3,3,1,1,1.75,1,3,0,1.33,2,0,2,1,1.33,2,0,0,0,0,0.5,1,1,1.35,1,0,0,1,0.33,0,0,0,0,0,0,1,1,1,0,0,0.00,0,0,0,0,0,0,0,1,1,1,0.75,0.18,2,1,2,2,1.67,3,2,2,1,2.33,3,3,1,2,2,2,2.25,2,2,2,3,2,3,1,2,2,2.2,1,1,0,0,0,0,0,0.5,3,2,2,1,1,1,2,1.67,3,0,3,1,3,1,1.83,0,0,0,0,3,3,3,2,3.00,3,1,0,2,1.77,1.10,7,8,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of Congo,Africa,Low income,1,,,Unitary,1,3,0,0,1,3,1.33,0,0,3,1,0,0,1,0,0,0,0.00,1,2,0,0,1.00,0,0,0,0,1,0,0,0,0.56,3,3,3,0,3.00,1,0,0.5,2,1,0,0,0,1,2,2,1.00,2,0,0,1,1,1,1,1,2,1,1.25,1.29,1,3,2,2,2.00,2,1,2,1,1.67,2,3,3,2,2,1,2.5,2,0,2,2,2,0,1,2,2,1.4,0,0,0,1,0,0,0,0.25,1,0,3,3,2,3,0,2.00,3,0,3,0,2,0,1.33,0,0,0,0,2,2,0,1,1.33,1,0,0,0.5,1.36,1.07,5,5,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,LAC,Lower middle income,2,,OGP,Unitary,1,3,0,0,3,2,1.50,0,0,0,1,0,0,0.25,3,0,0,1.00,0,3,0,0,1.00,0,0,0,0,0,0,0,0,0.63,1,1,1,2,1.00,1,1,1,2,1,1,1,0,1,1,0,1.33,1,0,1,0.5,1,1,0,0,0,0,0,0.81,3,3,3,2,3.00,3,1,3,2,2.33,3,3,3,3,0,2,3,3,2,3,3,3,1,0,0,2,1.4,1,1,0,1,0,0,0,0.75,3,1,2,2,2,3,0,2.17,3,3,3,3,3,3,3.00,0,0,0,0,1,0,1,0,0.67,0,0,0,0,1.76,1.06,6,4,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,Africa,Low income,1,,,Unitary,2,3,0,0,1,2,1.33,2,3,1,1,0,0,1.75,1,0,0,0.33,1,1,1,0,1.00,0,0,0,0,2,0,2,2,1.07,1,0,1,0,0.67,1,1,1,1,1,1,2,0,2,1,0,1.00,1,2,1,1.5,0,0,3,2,1,1,1.75,0.99,0,0,0,2,0.00,0,2,1,2,1.00,1,0,0,1,0,1,0.5,0,0,0,1,1,0,1,1,0,0.8,1,1,0,2,1,0,0,1,1,0,2,2,0,1,0,1.00,1,2,2,1,2,2,1.67,1,1,0,1,0,0,1,0,0.33,3,1,0,2,0.85,0.97,5,4,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,Africa,Upper middle income,3,,,Unitary,1,3,0,0,1,1,1.00,1,0,0,0,0,0,0.25,0,0,0,0.00,3,3,1,0,2.33,3,3,0,0,1,1.5,3,3,1.35,3,1,0,2,1.33,1,1,1,1,0,0,0,0,1,0,1,0.33,1,0,2,0.5,0,0,0,0,0,0,0,0.53,0,0,0,0,0.00,3,1,2,2,2.00,3,3,3,0,1,1,2.25,2,2,2,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,2,0,1.00,0,0,0,0,2,1,0.50,0,0,0,0,0,0,0,1,0.00,1,0,2,0.5,0.84,0.91,5,7,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,Africa,Lower middle income,2,,OGP,Unitary,0,0,0,0,0,0,0.00,0,0,2,0,0,0,0.5,0,0,0,0.00,0,3,2,0,1.67,0,0,0,0,1,0,2,2,0.69,2,1,1,2,1.33,2,0,1,1,0,1,1,0,1,0,0,0.67,1,1,1,1,0,0,0,0,0,0,0,0.67,0,0,0,0,0.00,3,2,3,2,2.67,2,3,1,3,2,2,2.25,2,1,2,3,3,3,0,3,2,2.4,0,1,0,1,0,1,2,0.5,3,0,2,2,2,1,2,1.67,3,2,2,2,2,2,2.17,0,0,0,0,1,0,1,0,0.67,0,0,0,0,1.30,0.89,7,6,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,Asia/Pacific,Lower middle income,2,,,Unitary,2,1,0,0,2,3,1.33,1,0,2,0,0,0,0.75,3,1,0,1.33,1,3,2,0,2.00,0,0,0,0,0,0,0,0,0.90,2,2,2,0,2.00,1,0,0.5,1,0,1,1,0,1,0,0,0.67,0,1,0,0.5,0,0,2,1,1,1,1.25,0.82,0,0,0,0,0.00,1,1,1,2,1.00,1,2,0,1,2,2,1,1,2,1,3,1,3,3,3,0,2.6,0,1,0,0,0,0,1,0.25,3,0,1,1,1,1,2,1.17,3,0,3,0,3,1,1.67,0,0,0,0,2,2,0,2,1.33,0,0,0,0,0.91,0.88,6,3,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,Asia/Pacific,Lower middle income,2,,,Federal,3,1,1,3,2,1,1.83,0,0,2,0,0,1,0.5,1,0,0,0.33,0,1,0,0,0.33,3,3,0,0,1,1.5,1,1,0.92,1,0,1,2,0.67,0,1,0.5,1,0,1,1,0,1,0,0,0.67,1,0,0,0.5,0,0,0,0,0,0,0,0.39,2,1,1,2,1.33,3,3,3,2,3.00,2,1,1,2,0,2,1.5,3,2,3,1,3,0,0,1,2,1,0,0,0,1,0,0,0,0.25,2,0,2,2,0,2,2,1.33,1,0,2,0,2,0,0.83,0,0,0,0,2,0,3,2,1.67,0,0,0,0,1.27,0.86,8,4,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,Africa,Low income,1,,,Unitary,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,1,0,0,0.33,2,3,1,0,2.00,3,3,1,0,1,1.75,0,0,0.68,2,1,1,0,1.33,1,1,1,1,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,1,1,1,0.75,0.57,0,0,0,2,0.00,3,3,3,2,3.00,3,3,3,3,0,0,3,2,0,2,0,0,0,0,2,2,0.4,0,0,0,0,0,0,0,0,2,0,1,2,2,2,2,1.50,3,2,2,2,2,0,1.83,1,1,0,1,1,0,0,0,0.33,1,1,2,1,1.28,0.84,5,1,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,LAC,Upper middle income,3,,,Unitary,3,3,0,3,2,3,2.33,0,0,2,1,0,0,0.75,2,3,0,1.67,0,1,2,0,1.00,2,0,0,0,0,0.5,0,0,1.04,1,0,0,2,0.33,1,0,0.5,1,0,1,2,0,1,0,1,0.67,0,0,0,0,0,0,0,0,0,0,0,0.25,3,3,2,2,2.67,2,2,2,2,2.00,3,3,0,3,0,2,2.25,1,2,1,1,2,3,0,0,0,1.2,0,0,0,0,0,2,2,0,3,0,1,1,1,1,2,1.17,3,3,3,0,3,0,2.00,0,0,1,0,0,0,0,2,0.00,1,0,0,0.5,1.16,0.82,10,3,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,Asia/Pacific,Low income,1,,,Unitary,2,2,3,0,1,3,1.83,0,0,3,0,0,0,0.75,1,0,0,0.33,2,3,0,0,1.67,0,0,0,0,0,0,1,1,0.93,2,0,0,1,0.67,0,0,0,1,0,0,1,0,0,0,0,0.33,1,0,0,0.5,0,0,0,0,1,0,0.25,0.29,0,0,0,0,0.00,1,1,1,2,1.00,2,2,1,1,0,1,1.5,2,0,2,3,1,0,3,2,0,1.8,1,1,0,1,0,0,0,0.75,1,0,2,2,2,1,0,1.33,3,1,2,1,2,1,1.67,0,0,1,0,0,1,1,0,0.67,2,0,0,1,1.07,0.76,1,4,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Asia/Pacific,Upper middle income,3,,OGP,Unitary,3,1,0,3,3,0,1.67,0,0,3,0,0,0,0.75,2,0,0,0.67,0,3,1,0,1.33,2,0,0,0,1,0.5,0,0,0.82,1,0,0,0,0.33,1,0,0.5,1,0,1,0,0,0,0,0,0.67,0,1,0,0.5,1,1,0,0,0,0,0,0.50,3,1,2,2,2.00,0,2,3,0,1.67,3,2,0,2,0,0,1.75,1,0,1,2,1,0,0,0,0,0.6,0,1,0,0,0,0,0,0.25,2,2,1,3,2,2,0,2.00,2,0,2,0,2,0,1.00,0,0,1,0,1,0,0,1,0.33,0,0,0,0,0.96,0.76,1,3,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,LAC,Upper middle income,3,,,Unitary,1,3,0,0,0,3,1.17,0,0,1,0,0,0,0.25,1,0,0,0.33,1,1,0,0,0.67,0,0,0,0,2,0,2,2,0.74,1,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.00,0,1,0,0.5,0,0,0,0,1,0,0.25,0.18,0,0,0,0,0.00,1,3,3,1,2.33,3,1,0,3,0,1,1.75,3,0,3,3,3,1,2,3,0,2.4,1,2,0,1,0,0,0,1,1,0,2,0,1,1,0,0.83,2,0,3,0,1,0,1.00,0,0,1,0,2,2,0,2,1.33,1,0,0,0.5,1.29,0.73,2,3,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Asia/Pacific,Low income,1,,,Federal,3,1,2,3,3,0,2.00,0,0,3,0,1,1,0.75,2,1,0,1.00,0,1,0,0,0.33,0,0,0,0,0,0,0,0,0.68,1,1,0,1,0.67,1,1,1,1,0,0,0,1,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.33,3,1,3,2,2.33,1,1,1,2,1.00,1,1,0,2,2,0,1,3,2,3,1,2,0,0,0,1,0.6,0,0,0,0,0,0,0,0,2,0,1,2,0,0,2,0.83,1,1,0,0,3,2,1.17,0,0,1,0,2,0,2,1,1.33,0,0,0,0,1.02,0.68,5,7,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,Asia/Pacific,Lower middle income,2,,,Unitary,0,0,0,0,0,0,0.00,0,0,3,0,0,1,0.75,0,0,0,0.00,1,1,2,0,1.33,0,0,0,0,1,0,1,1,0.51,1,0,0,2,0.33,0,1,0.5,1,0,0,1,0,1,0,0,0.33,1,1,0,1,0,0,0,0,0,0,0,0.36,0,0,0,0,0.00,1,2,2,2,1.67,2,2,2,2,2,2,2,3,2,3,3,2,0,2,3,1,2,0,1,0,0,0,0,2,0.25,2,0,2,1,1,1,2,1.17,3,0,3,0,1,0,1.17,0,0,0,0,2,0,0,2,0.67,1,0,0,0.5,1.13,0.67,8,5,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo (Rep of),Africa,Lower middle income,2,,,Unitary,3,1,0,0,0,0,0.67,0,0,2,0,0,0,0.5,0,0,0,0.00,0,1,0,0,0.33,0,0,0,0,0,0,0,0,0.25,1,1,1,0,1.00,1,1,1,0,0,0,1,0,1,2,2,0.00,0,1,1,0.5,0,0,0,0,1,0,0.25,0.46,0,0,0,0,0.00,1,1,1,0,1.00,3,3,3,3,0,0,3,3,0,3,3,0,0,1,0,2,0.8,2,3,0,0,0,0,0,1.25,0,0,3,1,1,1,2,1.00,3,0,3,0,3,0,1.50,2,0,0,1,0,0,0,0,0.00,3,0,2,1.5,1.28,0.66,5,3,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Africa,Upper middle income,3,,,Unitary,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,2,3,1,0,2.00,0,0,0,0,0,0,2,2,0.67,1,1,1,1,1.00,0,0,0,0,0,0,0,0,1,0,0,0.00,0,3,2,1.5,0,0,1,0,0,0,0.25,0.46,0,0,0,0,0.00,1,1,3,0,1.67,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.5,3,1,2,2,1,1,0,1.67,1,2,1,0,1,2,1.17,0,0,0,0,0,1,1,1,0.67,1,0,0,0.5,0.65,0.59,1,3,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Asia/Pacific,Upper middle income,3,,,Federal,1,0,0,0,1,0,0.33,0,0,3,0,1,0,0.75,1,0,0,0.33,0,3,1,0,1.33,3,3,0,0,1,1.5,0,0,0.71,1,1,1,2,1.00,1,0,0.5,0,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0.33,1,1,2,0,1.33,1,1,3,1,1,1,1.5,1,0,1,2,1,0,0,0,2,0.6,0,0,0,1,0,0,0,0.25,2,1,2,1,1,1,1,1.33,3,0,3,0,0,0,1.00,0,0,1,0,2,0,0,2,0.67,1,0,0,0.5,0.77,0.58,3,7,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,LAC,Low income,1,,,Unitary,0,0,0,0,0,0,0.00,1,1,2,1,0,0,1.25,0,0,0,0.00,0,1,1,0,0.67,3,3,0,0,1,1.5,0,0,0.57,1,0,0,1,0.33,1,0,0.5,1,0,0,0,0,0,0,0,0.33,0,1,0,0.5,0,0,2,1,1,1,1.25,0.49,0,0,0,0,0.00,1,1,1,0,1.00,1,1,0,3,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,2,2,0,1.67,3,3,1,0,1,0,1.33,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.48,0.51,0,2,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
